show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,date_added_parsed,year_added,month_added,duration_val,decade
s1448,TV Show,Title 1447,Director_029,"Actor_312, Actor_330, Actor_468",United States,"September 26, 2015",1999,TV-G,1 Season,"Sports Movies, Music & Musicals, Crime TV Shows",2015-09-26,2015,9,1.0,1990s
s1449,TV Show,Title 1448,Director_157,"Actor_013, Actor_350, Actor_361, Actor_159",India,"February 13, 2022",2017,TV-G,3 Seasons,"International Movies, Crime TV Shows",2022-02-13,2022,2,3.0,2010s
s1450,TV Show,Title 1449,Director_102,"Actor_373, Actor_401, Actor_420",India,"May 04, 2022",1984,TV-Y7,5 Seasons,Sci-Fi & Fantasy,2022-05-04,2022,5,5.0,1980s
s1451,Movie,Title 1450,Director_111,"Actor_375, Actor_122",United States,"July 22, 2020",2014,R,145 min,Music & Musicals,2020-07-22,2020,7,145.0,2010s
s1452,Movie,Title 1451,Director_083,"Actor_188, Actor_455, Actor_181",South Korea,"October 02, 2015",2010,PG-13,156 min,Sports Movies,2015-10-02,2015,10,156.0,2010s
s1453,TV Show,Title 1452,Director_149,"Actor_034, Actor_179, Actor_374, Actor_380, Actor_162",United States,"January 12, 2017",2000,TV-G,3 Seasons,"Anime Series, Dramas, Stand-Up Comedy",2017-01-12,2017,1,3.0,2000s
s1454,Movie,Title 1453,Director_104,"Actor_168, Actor_107",Turkey,"March 27, 2015",2015,PG-13,132 min,"Sci-Fi & Fantasy, Dramas, Thrillers",2015-03-27,2015,3,132.0,2010s
s1455,Movie,Title 1454,Director_188,"Actor_325, Actor_035, Actor_341, Actor_264, Actor_270",India,"February 08, 2016",2021,R,86 min,Horror Movies,2016-02-08,2016,2,86.0,2020s
s1456,TV Show,Title 1455,Director_020,"Actor_183, Actor_050, Actor_331, Actor_014",United States,"February 17, 2021",2023,TV-14,5 Seasons,Action & Adventure,2021-02-17,2021,2,5.0,2020s
s1457,TV Show,Title 1456,Director_036,"Actor_200, Actor_340, Actor_144",United States,"August 07, 2020",2016,TV-G,7 Seasons,Documentaries,2020-08-07,2020,8,7.0,2010s
s1458,Movie,Title 1457,Director_026,"Actor_034, Actor_116, Actor_403, Actor_055",Japan,"November 20, 2017",2009,R,70 min,Sports Movies,2017-11-20,2017,11,70.0,2000s
s1459,Movie,Title 1458,Director_101,"Actor_117, Actor_278, Actor_240, Actor_150, Actor_410",United States,"November 24, 2020",1996,PG-13,161 min,Romantic Movies,2020-11-24,2020,11,161.0,1990s
s1460,Movie,Title 1459,Director_162,"Actor_422, Actor_375, Actor_416",United States,"March 09, 2020",1999,R,108 min,"International Movies, Reality TV, Documentaries",2020-03-09,2020,3,108.0,1990s
s1461,Movie,Title 1460,Director_037,"Actor_225, Actor_083",United Kingdom,"April 23, 2022",2012,PG-13,162 min,Crime TV Shows,2022-04-23,2022,4,162.0,2010s
s1462,Movie,Title 1461,Director_059,"Actor_261, Actor_054, Actor_219, Actor_022",United States,"October 03, 2015",2008,R,74 min,"Romantic Movies, Comedies",2015-10-03,2015,10,74.0,2000s
s1463,Movie,Title 1462,Director_069,"Actor_235, Actor_250",Japan,"October 12, 2016",2022,R,150 min,Sports Movies,2016-10-12,2016,10,150.0,2020s
s1464,Movie,Title 1463,Director_031,"Actor_331, Actor_275, Actor_075",Turkey,"June 10, 2019",2008,PG,93 min,Comedies,2019-06-10,2019,6,93.0,2000s
s1465,TV Show,Title 1464,Director_079,"Actor_217, Actor_244, Actor_116",Japan,"February 16, 2022",2008,TV-14,2 Seasons,Dramas,2022-02-16,2022,2,2.0,2000s
s1466,Movie,Title 1465,Director_154,"Actor_036, Actor_426, Actor_072, Actor_320, Actor_323",United Kingdom,"January 10, 2018",2008,G,132 min,"Thrillers, Horror Movies, Dramas",2018-01-10,2018,1,132.0,2000s
s1467,TV Show,Title 1466,Director_130,"Actor_050, Actor_252, Actor_280, Actor_132, Actor_212",United States,"March 28, 2020",2021,TV-G,8 Seasons,"Thrillers, Kids TV",2020-03-28,2020,3,8.0,2020s
s1468,Movie,Title 1467,Director_176,"Actor_178, Actor_260, Actor_200, Actor_247",United States,"February 27, 2022",2017,PG-13,83 min,"International Movies, Music & Musicals",2022-02-27,2022,2,83.0,2010s
s1469,TV Show,Title 1468,Director_101,"Actor_054, Actor_095, Actor_038",Japan,"August 08, 2016",2016,TV-PG,1 Season,"Reality TV, Anime Series, International Movies",2016-08-08,2016,8,1.0,2010s
s1470,TV Show,Title 1469,Director_101,"Actor_368, Actor_014",United States,"May 09, 2015",2006,TV-MA,3 Seasons,"Sports Movies, Documentaries, Horror Movies",2015-05-09,2015,5,3.0,2000s
s1471,Movie,Title 1470,Director_029,"Actor_196, Actor_368, Actor_144",Spain,"September 13, 2015",2020,PG-13,136 min,"Horror Movies, Crime TV Shows",2015-09-13,2015,9,136.0,2020s
s1472,TV Show,Title 1471,Director_021,"Actor_188, Actor_238, Actor_417, Actor_249, Actor_469",United Kingdom,"August 19, 2015",1971,TV-G,3 Seasons,"Stand-Up Comedy, Sports Movies",2015-08-19,2015,8,3.0,1970s
s1473,TV Show,Title 1472,Director_018,"Actor_435, Actor_056, Actor_146, Actor_157",United States,"March 06, 2018",2021,TV-PG,4 Seasons,"Romantic Movies, Action & Adventure",2018-03-06,2018,3,4.0,2020s
s1474,Movie,Title 1473,Director_030,"Actor_463, Actor_167, Actor_275, Actor_170, Actor_465",Nigeria,"December 20, 2022",2013,PG-13,155 min,International Movies,2022-12-20,2022,12,155.0,2010s
s1475,Movie,Title 1474,Director_019,"Actor_153, Actor_231",United States,"July 30, 2021",2009,R,73 min,"Kids TV, Sci-Fi & Fantasy",2021-07-30,2021,7,73.0,2000s
s1476,Movie,Title 1475,Director_146,"Actor_030, Actor_211, Actor_092, Actor_004, Actor_286",United States,"July 06, 2019",2012,PG-13,93 min,"Sci-Fi & Fantasy, Dramas, Crime TV Shows",2019-07-06,2019,7,93.0,2010s
s1477,TV Show,Title 1476,Director_129,"Actor_032, Actor_112, Actor_370, Actor_439, Actor_136",United States,"January 02, 2021",2017,TV-G,8 Seasons,Romantic Movies,2021-01-02,2021,1,8.0,2010s
s1478,TV Show,Title 1477,Director_039,"Actor_278, Actor_034, Actor_418, Actor_319",United Kingdom,"August 09, 2020",1964,TV-14,3 Seasons,"Anime Series, Documentaries, Dramas",2020-08-09,2020,8,3.0,1960s
s1479,TV Show,Title 1478,Director_166,"Actor_183, Actor_034, Actor_240",United States,"September 17, 2015",2021,TV-MA,4 Seasons,Thrillers,2015-09-17,2015,9,4.0,2020s
s1480,Movie,Title 1479,Director_090,"Actor_160, Actor_195, Actor_278",United Kingdom,"November 04, 2020",2011,PG-13,171 min,"Kids TV, Music & Musicals",2020-11-04,2020,11,171.0,2010s
s1481,TV Show,Title 1480,Director_071,"Actor_433, Actor_371",Nigeria,"April 22, 2017",2006,TV-MA,3 Seasons,Stand-Up Comedy,2017-04-22,2017,4,3.0,2000s
s1482,Movie,Title 1481,Director_108,"Actor_404, Actor_408",Spain,"May 25, 2020",1987,NR,102 min,Action & Adventure,2020-05-25,2020,5,102.0,1980s
s1483,Movie,Title 1482,Director_181,"Actor_396, Actor_044, Actor_150, Actor_297, Actor_014",Turkey,"September 22, 2015",2011,PG,147 min,"Documentaries, Kids TV, Reality TV",2015-09-22,2015,9,147.0,2010s
s1484,Movie,Title 1483,Director_026,"Actor_480, Actor_096, Actor_100, Actor_163, Actor_114",United States,"January 27, 2016",2012,G,157 min,"Sci-Fi & Fantasy, Thrillers",2016-01-27,2016,1,157.0,2010s
s1485,Movie,Title 1484,Director_078,"Actor_399, Actor_419, Actor_225, Actor_186",United Kingdom,"March 29, 2021",2009,PG,70 min,"Sci-Fi & Fantasy, Sports Movies, Dramas",2021-03-29,2021,3,70.0,2000s
s1486,Movie,Title 1485,Director_139,"Actor_478, Actor_165, Actor_082, Actor_032",Japan,"June 19, 2017",2017,PG-13,76 min,"Anime Series, Reality TV",2017-06-19,2017,6,76.0,2010s
s1487,Movie,Title 1486,Director_077,"Actor_433, Actor_010, Actor_498",India,"August 10, 2016",2010,PG-13,98 min,International Movies,2016-08-10,2016,8,98.0,2010s
s1488,TV Show,Title 1487,Director_198,"Actor_385, Actor_154",Brazil,"October 30, 2021",2023,TV-14,4 Seasons,Sports Movies,2021-10-30,2021,10,4.0,2020s
s1489,Movie,Title 1488,Director_016,"Actor_008, Actor_099, Actor_117, Actor_201",Mexico,"February 26, 2018",2015,R,130 min,"Reality TV, Sports Movies",2018-02-26,2018,2,130.0,2010s
s1490,Movie,Title 1489,Director_083,"Actor_484, Actor_270",United States,"July 18, 2018",2020,PG-13,147 min,International Movies,2018-07-18,2018,7,147.0,2020s
s1491,Movie,Title 1490,Director_137,"Actor_489, Actor_218, Actor_416",South Korea,"April 10, 2016",1983,PG-13,134 min,"Stand-Up Comedy, Kids TV",2016-04-10,2016,4,134.0,1980s
s1492,Movie,Title 1491,Director_146,"Actor_045, Actor_053, Actor_188",United Kingdom,"April 08, 2018",2009,PG-13,150 min,"Thrillers, Sci-Fi & Fantasy",2018-04-08,2018,4,150.0,2000s
s1493,Movie,Title 1492,Director_157,"Actor_081, Actor_051, Actor_077, Actor_098",Germany,"December 15, 2020",2006,NR,103 min,"Reality TV, Anime Series, International Movies",2020-12-15,2020,12,103.0,2000s
s1494,Movie,Title 1493,Director_157,"Actor_410, Actor_030, Actor_413, Actor_037",France,"May 26, 2020",2015,R,172 min,"Anime Series, Dramas, Romantic Movies",2020-05-26,2020,5,172.0,2010s
s1495,Movie,Title 1494,Director_152,"Actor_395, Actor_215",United States,"November 15, 2017",2021,R,152 min,"Music & Musicals, Thrillers",2017-11-15,2017,11,152.0,2020s
s1496,Movie,Title 1495,Director_087,"Actor_489, Actor_470, Actor_250, Actor_047, Actor_208",United States,"March 05, 2022",1978,PG,126 min,"Dramas, Music & Musicals, Crime TV Shows",2022-03-05,2022,3,126.0,1970s
s1497,Movie,Title 1496,Director_073,"Actor_232, Actor_418, Actor_259, Actor_161",India,"January 02, 2022",1977,R,161 min,Anime Series,2022-01-02,2022,1,161.0,1970s
s1498,Movie,Title 1497,Director_126,"Actor_331, Actor_211, Actor_188",Germany,"May 02, 2016",2021,R,169 min,International Movies,2016-05-02,2016,5,169.0,2020s
s1499,Movie,Title 1498,Director_193,"Actor_105, Actor_054, Actor_211, Actor_238",United Kingdom,"March 11, 2022",1995,R,82 min,"Action & Adventure, Reality TV",2022-03-11,2022,3,82.0,1990s
s1500,TV Show,Title 1499,Director_101,"Actor_332, Actor_103",United States,"August 07, 2017",2017,TV-MA,6 Seasons,"Comedies, Stand-Up Comedy, Action & Adventure",2017-08-07,2017,8,6.0,2010s
s1501,Movie,Title 1500,Director_095,"Actor_219, Actor_315, Actor_107, Actor_058",United States,"February 10, 2016",2014,R,157 min,Music & Musicals,2016-02-10,2016,2,157.0,2010s
s1502,Movie,Title 1501,Director_162,"Actor_136, Actor_122, Actor_166",United States,"November 15, 2017",2020,G,89 min,"Horror Movies, Dramas",2017-11-15,2017,11,89.0,2020s
s1503,Movie,Title 1502,Director_050,"Actor_424, Actor_063, Actor_349",United States,"January 11, 2018",1985,R,122 min,"Sci-Fi & Fantasy, Comedies",2018-01-11,2018,1,122.0,1980s
s1504,Movie,Title 1503,Director_100,"Actor_393, Actor_472, Actor_449",India,"December 30, 2015",1985,R,111 min,"International Movies, Action & Adventure",2015-12-30,2015,12,111.0,1980s
s1505,Movie,Title 1504,Director_070,"Actor_046, Actor_178",Spain,"October 22, 2018",2014,NR,125 min,Kids TV,2018-10-22,2018,10,125.0,2010s
s1506,Movie,Title 1505,Director_070,"Actor_191, Actor_071, Actor_429",Turkey,"December 19, 2017",2023,PG-13,117 min,"Action & Adventure, Dramas, Music & Musicals",2017-12-19,2017,12,117.0,2020s
s1507,Movie,Title 1506,Director_154,"Actor_398, Actor_240, Actor_490",United States,"July 04, 2016",2010,PG-13,168 min,"Kids TV, Action & Adventure",2016-07-04,2016,7,168.0,2010s
s1508,Movie,Title 1507,Director_009,"Actor_301, Actor_122, Actor_064, Actor_403",Spain,"July 17, 2019",2005,R,169 min,Stand-Up Comedy,2019-07-17,2019,7,169.0,2000s
s1509,Movie,Title 1508,Director_096,"Actor_308, Actor_248, Actor_304",United States,"October 19, 2015",2016,PG-13,95 min,"Anime Series, Dramas, Action & Adventure",2015-10-19,2015,10,95.0,2010s
s1510,TV Show,Title 1509,Director_170,"Actor_060, Actor_410",United States,"October 07, 2022",2022,TV-MA,4 Seasons,"International Movies, Dramas",2022-10-07,2022,10,4.0,2020s
s1511,TV Show,Title 1510,,"Actor_074, Actor_008, Actor_235, Actor_425, Actor_460",Spain,"May 14, 2020",2021,TV-14,6 Seasons,Music & Musicals,2020-05-14,2020,5,6.0,2020s
s1512,TV Show,Title 1511,Director_198,"Actor_426, Actor_404, Actor_222",Mexico,"November 03, 2022",2023,TV-MA,2 Seasons,"Sci-Fi & Fantasy, Stand-Up Comedy",2022-11-03,2022,11,2.0,2020s
s1513,TV Show,Title 1512,Director_133,"Actor_406, Actor_260, Actor_215, Actor_346, Actor_427",India,"December 23, 2019",1967,TV-14,6 Seasons,"Horror Movies, International Movies, Music & Musicals",2019-12-23,2019,12,6.0,1960s
s1514,Movie,Title 1513,Director_005,"Actor_474, Actor_146, Actor_332, Actor_051",France,"July 10, 2015",1983,R,102 min,"Kids TV, Music & Musicals, Horror Movies",2015-07-10,2015,7,102.0,1980s
s1515,Movie,Title 1514,Director_076,"Actor_337, Actor_042",India,"April 05, 2016",2016,PG-13,112 min,"Anime Series, Reality TV, Horror Movies",2016-04-05,2016,4,112.0,2010s
s1516,Movie,Title 1515,Director_175,"Actor_372, Actor_474, Actor_280",United Kingdom,"June 04, 2022",2020,NR,158 min,"Documentaries, Horror Movies, Sci-Fi & Fantasy",2022-06-04,2022,6,158.0,2020s
s1517,Movie,Title 1516,Director_076,"Actor_085, Actor_463, Actor_323, Actor_469",United States,"April 03, 2020",2002,PG-13,117 min,"Reality TV, Horror Movies",2020-04-03,2020,4,117.0,2000s
s1518,TV Show,Title 1517,Director_001,"Actor_490, Actor_134, Actor_060, Actor_446",Canada,"March 30, 2021",1997,TV-MA,5 Seasons,Kids TV,2021-03-30,2021,3,5.0,1990s
s1519,Movie,Title 1518,Director_050,"Actor_247, Actor_121",United States,"November 26, 2021",2020,PG-13,165 min,"Romantic Movies, Stand-Up Comedy",2021-11-26,2021,11,165.0,2020s
s1520,TV Show,Title 1519,Director_188,"Actor_474, Actor_081, Actor_257",,"May 29, 2022",1974,TV-MA,3 Seasons,"Stand-Up Comedy, Romantic Movies",2022-05-29,2022,5,3.0,1970s
s1521,Movie,Title 1520,Director_146,"Actor_361, Actor_064, Actor_216, Actor_146",India,"September 28, 2015",2008,PG-13,90 min,"Crime TV Shows, Kids TV",2015-09-28,2015,9,90.0,2000s
s1522,TV Show,Title 1521,Director_120,"Actor_314, Actor_057, Actor_169, Actor_312",United States,"March 03, 2018",2013,TV-Y,7 Seasons,International Movies,2018-03-03,2018,3,7.0,2010s
s1523,Movie,Title 1522,Director_127,"Actor_088, Actor_319, Actor_490, Actor_452",United States,"June 20, 2015",2014,PG-13,156 min,Thrillers,2015-06-20,2015,6,156.0,2010s
s1524,Movie,Title 1523,Director_001,"Actor_012, Actor_377, Actor_193, Actor_499, Actor_239",United States,"December 09, 2018",2018,NR,121 min,"Reality TV, Sci-Fi & Fantasy, Thrillers",2018-12-09,2018,12,121.0,2010s
s1525,Movie,Title 1524,Director_050,"Actor_074, Actor_325, Actor_215",United States,"January 28, 2015",2007,R,175 min,"Stand-Up Comedy, Dramas, Horror Movies",2015-01-28,2015,1,175.0,2000s
s1526,Movie,Title 1525,Director_153,"Actor_021, Actor_468, Actor_174, Actor_423, Actor_102",India,"May 16, 2015",2016,PG-13,95 min,Thrillers,2015-05-16,2015,5,95.0,2010s
s1527,Movie,Title 1526,Director_069,"Actor_400, Actor_212, Actor_340, Actor_161, Actor_081",Mexico,"September 18, 2021",2015,PG-13,113 min,"Thrillers, Anime Series",2021-09-18,2021,9,113.0,2010s
s1528,Movie,Title 1527,Director_019,"Actor_271, Actor_048, Actor_128, Actor_131",United Kingdom,"June 06, 2017",2014,PG-13,106 min,Anime Series,2017-06-06,2017,6,106.0,2010s
s1529,TV Show,Title 1528,Director_022,"Actor_040, Actor_347, Actor_351, Actor_075, Actor_282",United States,"March 09, 2019",2016,TV-14,8 Seasons,"Thrillers, Sports Movies",2019-03-09,2019,3,8.0,2010s
s1530,Movie,Title 1529,Director_053,"Actor_277, Actor_292, Actor_017",Japan,"June 18, 2018",1999,R,154 min,"International Movies, Crime TV Shows, Documentaries",2018-06-18,2018,6,154.0,1990s
s1531,Movie,Title 1530,Director_142,"Actor_206, Actor_393, Actor_162, Actor_265, Actor_190",Canada,"May 05, 2017",1979,R,156 min,"International Movies, Comedies, Crime TV Shows",2017-05-05,2017,5,156.0,1970s
s1532,Movie,Title 1531,Director_133,"Actor_473, Actor_290",India,"October 27, 2021",1984,NR,179 min,"Action & Adventure, Romantic Movies",2021-10-27,2021,10,179.0,1980s
s1533,TV Show,Title 1532,Director_162,"Actor_245, Actor_386, Actor_196",Japan,"October 17, 2021",1996,TV-MA,3 Seasons,Dramas,2021-10-17,2021,10,3.0,1990s
s1534,Movie,Title 1533,Director_135,"Actor_191, Actor_473, Actor_295, Actor_192",United States,"June 05, 2018",2013,PG-13,127 min,Reality TV,2018-06-05,2018,6,127.0,2010s
s1535,Movie,Title 1534,Director_056,"Actor_091, Actor_181, Actor_313",Mexico,"May 23, 2016",2021,R,91 min,Dramas,2016-05-23,2016,5,91.0,2020s
s1536,Movie,Title 1535,Director_177,"Actor_226, Actor_072, Actor_360, Actor_029, Actor_462",Canada,"August 19, 2018",2018,R,169 min,Sci-Fi & Fantasy,2018-08-19,2018,8,169.0,2010s
s1537,Movie,Title 1536,Director_176,"Actor_369, Actor_070, Actor_147, Actor_108, Actor_287",United States,"September 12, 2020",2020,NR,164 min,"Music & Musicals, Stand-Up Comedy",2020-09-12,2020,9,164.0,2020s
s1538,TV Show,Title 1537,Director_114,"Actor_159, Actor_324, Actor_040, Actor_248",Japan,"October 22, 2017",2007,TV-MA,3 Seasons,"Crime TV Shows, Sports Movies",2017-10-22,2017,10,3.0,2000s
s1539,Movie,Title 1538,Director_148,"Actor_042, Actor_393, Actor_060",Japan,"December 28, 2015",2009,R,120 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers",2015-12-28,2015,12,120.0,2000s
s1540,Movie,Title 1539,Director_122,"Actor_063, Actor_120",Japan,"May 03, 2018",2009,R,125 min,"Thrillers, Romantic Movies",2018-05-03,2018,5,125.0,2000s
s1541,TV Show,Title 1540,Director_035,"Actor_352, Actor_102, Actor_293",United States,"August 28, 2016",1993,TV-PG,2 Seasons,"Reality TV, Comedies",2016-08-28,2016,8,2.0,1990s
s1542,Movie,Title 1541,Director_070,"Actor_325, Actor_276, Actor_109, Actor_492",United States,"February 07, 2020",1975,PG-13,90 min,"Crime TV Shows, Action & Adventure",2020-02-07,2020,2,90.0,1970s
s1543,Movie,Title 1542,Director_068,"Actor_339, Actor_478, Actor_164, Actor_312, Actor_226",India,"August 24, 2018",2015,NR,157 min,Anime Series,2018-08-24,2018,8,157.0,2010s
s1544,Movie,Title 1543,Director_057,"Actor_094, Actor_475",United States,"July 29, 2019",2023,R,83 min,"International Movies, Horror Movies, Romantic Movies",2019-07-29,2019,7,83.0,2020s
s1545,TV Show,Title 1544,,"Actor_307, Actor_169, Actor_364, Actor_499",France,"December 16, 2016",1990,TV-14,8 Seasons,"Documentaries, Music & Musicals, Action & Adventure",2016-12-16,2016,12,8.0,1990s
s1546,Movie,Title 1545,Director_015,"Actor_201, Actor_000, Actor_279",Turkey,"April 16, 2021",1972,PG-13,84 min,"Horror Movies, Dramas, Romantic Movies",2021-04-16,2021,4,84.0,1970s
s1547,TV Show,Title 1546,Director_133,"Actor_182, Actor_082, Actor_152, Actor_357",United States,"January 03, 2021",2019,TV-PG,5 Seasons,"Comedies, Sports Movies, Crime TV Shows",2021-01-03,2021,1,5.0,2010s
s1548,Movie,Title 1547,Director_077,"Actor_245, Actor_457, Actor_051, Actor_075",Mexico,"December 14, 2015",1999,R,97 min,"Dramas, Action & Adventure, Comedies",2015-12-14,2015,12,97.0,1990s
s1549,Movie,Title 1548,Director_121,"Actor_444, Actor_393, Actor_134, Actor_316",Spain,"July 01, 2018",2020,PG-13,170 min,"Anime Series, Horror Movies, Crime TV Shows",2018-07-01,2018,7,170.0,2020s
s1550,Movie,Title 1549,Director_179,"Actor_159, Actor_284",United States,"February 03, 2016",2018,R,95 min,Sports Movies,2016-02-03,2016,2,95.0,2010s
s1551,TV Show,Title 1550,Director_001,"Actor_465, Actor_237, Actor_020",India,"September 19, 2018",2023,TV-MA,2 Seasons,"Romantic Movies, Dramas, Sci-Fi & Fantasy",2018-09-19,2018,9,2.0,2020s
s1552,Movie,Title 1551,Director_113,"Actor_209, Actor_273, Actor_132, Actor_012",United States,"April 14, 2018",2009,R,173 min,Action & Adventure,2018-04-14,2018,4,173.0,2000s
s1553,TV Show,Title 1552,Director_113,"Actor_367, Actor_004, Actor_076, Actor_339, Actor_315",France,"December 12, 2020",2017,TV-Y7,2 Seasons,"Documentaries, Romantic Movies",2020-12-12,2020,12,2.0,2010s
s1554,TV Show,Title 1553,Director_123,"Actor_033, Actor_020, Actor_498, Actor_402",United States,"September 11, 2022",2011,TV-14,4 Seasons,"Sports Movies, International Movies, Thrillers",2022-09-11,2022,9,4.0,2010s
s1555,Movie,Title 1554,Director_145,"Actor_015, Actor_043, Actor_330",Canada,"September 11, 2021",2016,PG-13,179 min,"Kids TV, Documentaries, Sports Movies",2021-09-11,2021,9,179.0,2010s
s1556,Movie,Title 1555,Director_162,"Actor_195, Actor_260, Actor_244, Actor_196",Nigeria,"December 18, 2020",2011,NR,115 min,Comedies,2020-12-18,2020,12,115.0,2010s
s1557,Movie,Title 1556,Director_085,"Actor_197, Actor_043, Actor_151, Actor_181",United States,"May 05, 2019",1992,NR,120 min,"Music & Musicals, Horror Movies",2019-05-05,2019,5,120.0,1990s
s1558,Movie,Title 1557,Director_166,"Actor_110, Actor_490, Actor_294, Actor_160, Actor_455",Japan,"April 06, 2022",2013,PG,94 min,"Sci-Fi & Fantasy, Anime Series",2022-04-06,2022,4,94.0,2010s
s1559,TV Show,Title 1558,Director_128,"Actor_129, Actor_230, Actor_499, Actor_105",Mexico,"April 01, 2017",2013,TV-MA,2 Seasons,"Crime TV Shows, Dramas",2017-04-01,2017,4,2.0,2010s
s1560,TV Show,Title 1559,Director_164,"Actor_300, Actor_414, Actor_167, Actor_430, Actor_176",United Kingdom,"June 20, 2017",2020,TV-MA,2 Seasons,"International Movies, Romantic Movies, Music & Musicals",2017-06-20,2017,6,2.0,2020s
s1561,Movie,Title 1560,Director_020,"Actor_164, Actor_026, Actor_255, Actor_364, Actor_220",Canada,"August 02, 2017",2019,R,170 min,Action & Adventure,2017-08-02,2017,8,170.0,2010s
s1562,Movie,Title 1561,Director_000,"Actor_254, Actor_368, Actor_202, Actor_213",United States,"August 11, 2022",2017,NR,103 min,"Thrillers, Dramas, Sports Movies",2022-08-11,2022,8,103.0,2010s
s1563,TV Show,Title 1562,Director_131,"Actor_082, Actor_272, Actor_165, Actor_402, Actor_261",Germany,"February 13, 2020",1983,TV-14,8 Seasons,"Comedies, Stand-Up Comedy",2020-02-13,2020,2,8.0,1980s
s1564,Movie,Title 1563,Director_057,"Actor_134, Actor_178",India,"November 30, 2015",2018,R,131 min,"Music & Musicals, Sci-Fi & Fantasy",2015-11-30,2015,11,131.0,2010s
s1565,TV Show,Title 1564,Director_000,"Actor_045, Actor_226, Actor_150",India,"November 09, 2017",2013,TV-G,3 Seasons,Romantic Movies,2017-11-09,2017,11,3.0,2010s
s1566,Movie,Title 1565,Director_140,"Actor_010, Actor_238, Actor_023",United Kingdom,"March 02, 2021",2022,NR,128 min,"Stand-Up Comedy, Dramas, International Movies",2021-03-02,2021,3,128.0,2020s
s1567,Movie,Title 1566,Director_173,"Actor_048, Actor_163, Actor_397, Actor_416",United Kingdom,"December 21, 2015",2022,PG-13,103 min,"Music & Musicals, Comedies",2015-12-21,2015,12,103.0,2020s
s1568,Movie,Title 1567,Director_174,"Actor_356, Actor_333, Actor_316",United States,"April 11, 2018",1974,PG,175 min,"Dramas, Romantic Movies",2018-04-11,2018,4,175.0,1970s
s1569,Movie,Title 1568,Director_006,"Actor_389, Actor_053",Germany,"April 27, 2018",2020,PG-13,172 min,Stand-Up Comedy,2018-04-27,2018,4,172.0,2020s
s1570,Movie,Title 1569,Director_050,"Actor_155, Actor_178, Actor_048",Japan,"April 03, 2017",1971,NR,96 min,"Stand-Up Comedy, Kids TV, International Movies",2017-04-03,2017,4,96.0,1970s
s1571,Movie,Title 1570,Director_002,"Actor_428, Actor_266, Actor_087, Actor_230, Actor_303",Canada,"October 22, 2017",2008,R,79 min,Crime TV Shows,2017-10-22,2017,10,79.0,2000s
s1572,Movie,Title 1571,Director_177,"Actor_097, Actor_168",Germany,"March 11, 2020",2014,R,165 min,Romantic Movies,2020-03-11,2020,3,165.0,2010s
s1573,TV Show,Title 1572,Director_153,"Actor_330, Actor_288, Actor_059, Actor_238",United States,"June 17, 2015",1988,TV-Y,4 Seasons,Horror Movies,2015-06-17,2015,6,4.0,1980s
s1574,TV Show,Title 1573,Director_030,"Actor_457, Actor_160, Actor_110, Actor_011, Actor_486",Germany,"August 12, 2021",2019,TV-MA,5 Seasons,"Horror Movies, Documentaries, Kids TV",2021-08-12,2021,8,5.0,2010s
s1575,Movie,Title 1574,Director_099,"Actor_025, Actor_167",Japan,"June 19, 2016",1963,R,96 min,Thrillers,2016-06-19,2016,6,96.0,1960s
s1576,Movie,Title 1575,Director_061,"Actor_490, Actor_395, Actor_073, Actor_042",Turkey,"May 02, 2020",1990,PG-13,177 min,"Sports Movies, Sci-Fi & Fantasy",2020-05-02,2020,5,177.0,1990s
s1577,Movie,Title 1576,Director_153,"Actor_350, Actor_002, Actor_268, Actor_483",Canada,"March 12, 2022",2015,NR,114 min,"Dramas, Music & Musicals",2022-03-12,2022,3,114.0,2010s
s1578,Movie,Title 1577,Director_194,"Actor_336, Actor_134, Actor_092, Actor_375, Actor_426",United States,"June 08, 2019",2018,PG-13,152 min,"Thrillers, Crime TV Shows",2019-06-08,2019,6,152.0,2010s
s1579,Movie,Title 1578,Director_107,"Actor_407, Actor_312",India,"August 07, 2017",2022,NR,102 min,"Crime TV Shows, Anime Series, Horror Movies",2017-08-07,2017,8,102.0,2020s
s1580,Movie,Title 1579,Director_054,"Actor_400, Actor_433, Actor_431",Canada,"July 26, 2015",2018,R,164 min,"International Movies, Documentaries, Sports Movies",2015-07-26,2015,7,164.0,2010s
s1581,Movie,Title 1580,Director_155,"Actor_169, Actor_263",India,"June 27, 2016",2017,NR,93 min,"Thrillers, Kids TV, Stand-Up Comedy",2016-06-27,2016,6,93.0,2010s
s1582,Movie,Title 1581,Director_043,"Actor_051, Actor_296, Actor_026, Actor_451, Actor_012",United States,"May 09, 2015",2009,PG-13,152 min,"Kids TV, Horror Movies",2015-05-09,2015,5,152.0,2000s
s1583,Movie,Title 1582,Director_080,"Actor_326, Actor_011, Actor_254, Actor_099, Actor_118",India,"January 10, 2019",1960,PG-13,105 min,"Horror Movies, Comedies, Reality TV",2019-01-10,2019,1,105.0,1960s
s1584,Movie,Title 1583,Director_165,"Actor_468, Actor_126, Actor_474, Actor_374",United States,"April 15, 2022",1984,PG-13,134 min,"International Movies, Horror Movies, Romantic Movies",2022-04-15,2022,4,134.0,1980s
